Country,City,Latitude,Longitude,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
Austria,Operkappel,48.5528,13.7716,183,133,234,546,591,481,228,223,428,262,275,242,473,288,572,630,579,564,571,500,443,147,39,80,402,219,89,156,239,175,185,99,234,95,134,185,423
Austria,Baumgarten an der March,48.3089,16.8697,4102,3220,4489,4102,4495,3712,4197,3200,3254,3243,4171,4079,2070,2537,3616,3371,3423,3460,3025,3418,3156,3728,3217,3786,3523,1864,2895,3312,3521,3396,3169,3426,3190,3073,2937,3308,1935
Austria,Ruggel,47.2529,9.5402,0,0,5,0,5,2,2,2,3,5,7,8,9,7,7,4,3,2,2,2,3,5,7,9,10,7,7,6,4,2,2,2,3,5,8,9,10
Belgium,Blategnies,50.3619,3.9488,993,940,897,859,1140,556,1052,1061,0,682,379,468,435,317,449,919,997,898,741,760,94,195,265,363,487,279,230,158,328,289,368,453,120,155,118,315,0
Belgium,Zelzate,51.198034,3.812306,426.97,384.46,508.7,487.14,713.48,783.15,644.39,426.7,569.87,366.95,570.34,630.28,446.98,536.8,710.52,422.44,781.77,486.1,387.35,385.33,570.478,225.782,342.78,313.779,980,225.32,217.2,437.84,553.84,509.23,441.82,307.89,626.41,654.22,495.21,488.85,422.98
Belgium,Zandvliet,51.359955,4.271811,209,181,100,53,67,68,102,119,121,154,123,113,141,158,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,s Gravenvoeren,51.037296,5.71369,0,0,0,0,0,0,0,0,107,216,163,136,226,241,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,Alveringem,51.0123,2.7097,0,0,0,0,0,0,0,0,0,0,12,15,16,58,18,0,0,0,0,0,39,6,21,0,4,51,130,152,39,25,28,10,25,60,121,52,600
Belgium,Petange,49.550583,5.851631,15,19,11,2,0,4,0,0,0,0,5,7,12,7,3,0,0,8,34,25,4,0,5,1,0,5,5,3,1,2,0,1,7,1,6,20,34
Czech Republic,Hora Svate Kateriny,50.6063,13.4367,36,32,12,3,0,0,0,0,0,11,17,7,0,22,17,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Czech Republic,Moravia,48.9545,16.7677,75,67,71,49,3,1,0,5,11,52,30,76,11,55,77,50,12,9,9,7,1,2,32,72,77,75,77,61,0,0,12,12,12,13,44,32,78
Czech Republic,Brandov,50.632,13.3907,2737,2554,2711,2762,2860,707,1926,2721,2119,1599,1547,1566,3264,3141,3313,3122,2759,3310,2359,3476,3291,3007,2935,2895,3335,2538,3423,3638,3737,3743,2917,3494,3830,3359,3047,2938,3295
France,Taisnieres,50.364597,3.872416,33,66,445,515,387,524,431,317,393,391,455,531,59,234,364,538,529,391,311,71,341,441,351,308,396,64,447,441,522,167,376,361,283,446,203,585,59
France,Obergailbach,49.118238,7.218883,487,336,316,241,262,203,388,494,0,456,260,309,98,186,217,207,203,333,187,373,443,512,480,621,902,513,478,375,544,449,402,394,336,385,483,453,148
France,Oltingue,47.491924,7.392576,437,547,616,685,691,643,677,480,89,610,269,328,700,646,654,672,730,562,510,333,236,9,2,43,71,233,30,367,71,33,9,64,106,70,62,342,0
France,Jura,46.191574,6.131497,53,46,58,45,58,30,28,26,0,34,87,96,106,87,84,50,44,36,26,20,11,48,75,64,77,76,89,46,43,13,20,6,28,67,88,100,107
Germany,Greifswald (Nord Stream),54.084992,13.385554,5029,4539,5025,4864,5021,4865,2923,5018,4692,4867,4840,5004,5076,4701,5027,4864,5026,4868,3048,5023,4816,5045,4864,5019,5026,4544,5043,2980,5025,4757,3273,5000,4864,4957,4864,5021,4691
Germany,Mallnow,52.495184,14.652859,2335,2144,2364,1992,2478,2250,2190,2178,2270,2528,2416,2416,2170,1846,1589,1810,1481,2143,1639,2410,2410,2409,2400,2447,2488,1909,2487,2272,2522,2394,2204,1329,2012,476,604,434,551
Germany,Kamminke,53.8702,14.2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Germany,Olbernhau,50.6589,13.3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Waidhaus,49.641939,12.495029,2471,2034,2042,2092,1709,1706,862,1536,1891,1548,1761,1870,2102,1932,1743,1374,1211,1481,1044,1298,2072,2394,2419,2403,2332,2075,2346,2381,2378,2152,1829,2033,2026,1548,1914,1914,1878
Germany,Burghausen (Uberackern II),48.180834,12.841521,156,166,128,176,65,20,99,32,44,8,76,16,35,42,160,118,118,159,257,140,151,66,121,66,225,98,208,62,161,57,150,68,18,39,29,81,131
Germany,Kiefersfelden,47.612734,12.190504,62,48,42,29,29,16,16,16,19,29,42,50,58,48,41,24,21,16,17,15,20,34,41,53,59,44,44,33,24,17,17,18,20,33,44,57,58
Germany,Wallbach,47.568867,7.899507,675,541,564,812,595,740,756,523,628,754,464,437,781,557,533,654,743,479,482,286,304,239,282,417,487,311,293,347,229,106,80,110,159,174,259,510,0
Germany,Tietierowka,54.7353,18.5804,13,10,9,6,4,3,3,3,4,6,8,12,12,11,10,7,5,3,3,3,3,7,9,13,14,13,10,7,5,3,3,3,4,6,9,14,13
Germany,Finkenherd (EWE),51.7872,11.137,8,6,6,3,2,2,2,2,2,4,5,6,7,6,6,4,3,2,2,2,2,4,5,7,8,8,7,5,3,2,2,2,2,4,6,9,0
Germany,Lindau,47.5535,9.6929,43,34,29,21,22,11,11,10,15,21,31,34,40,31,31,18,15,12,11,10,14,25,32,38,43,33,34,9,21,12,11,12,14,25,33,40,42
