country,GDP,"January, 2019","February, 2019","March, 2019","April, 2019","May, 2019","June, 2019","July, 2019","August, 2019","September, 2019","October, 2019","November, 2019","December, 2019","January, 2020","February, 2020","March, 2020","April, 2020","May, 2020","June, 2020","July, 2020","August, 2020","September, 2020","October, 2020","November, 2020","December, 2020","January, 2021","February, 2021","March, 2021","April, 2021","May, 2021","June, 2021","July, 2021","August, 2021","September, 2021","October, 2021","November, 2021","December, 2021","January, 2022","February, 2022"
Albania,"4,540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-15,-12,300,-25,-24,-27,-33,-33,-30,-30,-34,-35,-34,-34
Algeria,"3,237",-2689,-1907,-1143,-1470,-1546,-1458,-696,-406,-285,-595,-670,-693,-455,-426,-326,-300,-329,-319,-429,-430,-405,-667,-640,-595,-570,-631,-691,-558,-710,-686,-654,-590,-698,-644,-723,-735,-855,-784
Austria,"36,773",1004,702,791,1238,995,858,1320,548,484,676,630,890,226,587,550,613,769,634,293,317,490,747,787,664,292,154,407,535,614,876,703,1177,835,1099,635,598,506,677
Belarus,"5,910",-3740,-3369,-3666,-3002,-3500,-3037,-2986,-2567,-3282,-3578,-3951,-4094,-3186,-3154,-3374,-3203,-2940,-3471,-3133,-4015,-3714,-3924,-3909,-4066,-4268,-3724,-3986,-3782,-3951,-3669,-3466,-2671,-3232,-1900,-1879,-2055,-1038,-1328
Belgium,"35,267",1450,1140,900,307,326,190,442,556,1899,1774,2001,1874,1853,1683,1708,998,703,1123,1211,1128,1093,1499,1707,2239,2880,2034,1568,1443,1139,914,871,1028,814,517,1480,1553,975,176
Bulgaria,"6,567",281,237,230,236,150,139,193,168,88,50,136,133,241,233,241,221,263,256,235,216,228,226,263,279,262,249,291,280,293,273,327,270,275,265,231,271,281,267
Croatia,"12,630",167,140,154,178,158,151,138,154,157,186,188,196,180,157,170,147,149,181,182,202,171,195,178,203,179,163,255,217,107,164,185,186,99,199,187,182,155,-19
Czech Republic,"21,193",645,649,775,912,1027,1081,696,652,530,707,870,985,437,557,260,735,1030,950,692,649,489,662,587,540,472,533,814,761,844,955,678,845,950,891,559,411,432,503
Denmark,"49,207",-103,-77,-82,-56,-56,-67,-95,-63,-11,121,162,124,0,32,71,83,84,119,123,88,27,84,79,160,10,52,47,69,61,72,63,57,101,34,44,121,53,-61
Estonia,"15,593",74,54,53,34,26,16,17,19,23,35,44,98,55,49,50,37,26,18,18,18,23,30,41,59,64,70,57,40,25,30,16,20,25,31,44,71,62,48
Finland,"36,930",375,277,265,204,137,139,155,147,172,210,228,242,251,235,242,188,163,164,161,166,201,200,217,264,342,361,255,216,108,108,149,145,168,149,111,259,156,129
France,"32,193",3376,3104,4454,4763,4138,3596,3476,3489,1037,3232,4737,4862,2567,1433,3532,4572,4415,3027,2577,2811,2461,3884,3438,3188,3175,2904,4561,3910,4528,3230,3645,1957,2861,3381,2960,3613,3369,3060
Georgia,"4,058",-768,-683,-773,-725,-770,-651,-900,-735,-819,-932,-863,-927,-945,-860,-924,-917,-882,-918,-1094,-986,-753,-1103,-1064,-1102,-1119,-966,-1073,-771,-427,-523,-540,-540,-522,-540,-608,-747,-796,-748
Germany,"35,193",8062,7898,8857,7899,8416,6659,5230,7034,5892,6971,9200,12621,8602,5957,7723,6910,7046,5272,3969,5071,5438,7088,7673,7253,4628,7270,9137,8401,7397,6491,5524,3778,6164,8072,7523,8242,8490,9118
Greece,"17,177",685,493,310,351,614,552,503,750,469,539,481,487,607,534,393,208,383,406,582,529,432,417,488,717,573,440,578,498,451,493,678,612,473,562,487,612,581,500
Hungary,"13,213",-265,614,704,1128,1361,688,-99,1065,929,791,651,1118,463,556,390,466,505,423,537,623,504,158,190,-74,-95,-169,7,191,142,158,286,273,187,43,64,101,353,493
Iran,"10,336",-824,-685,-833,-641,-543,-227,-606,-161,-648,-856,-859,-853,-704,-767,-558,0,0,0,-664,-406,-515,-97,-790,-819,-714,-809,-850,-867,-861,-867,-633,-898,-888,-395,-796,-855,-649,-514
Ireland,"64,677",257,190,246,252,251,210,219,148,218,217,306,273,302,282,297,247,265,244,267,273,302,288,314,358,409,299,347,317,262,250,361,262,245,256,325,331,382,286
Isle of Man (UK),"36,415",15,13,14,7,8,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,"26,277",6464,5064,6192,6447,6620,6290,5931,5416,5407,5139,5225,5264,5596,4767,5566,6091,5693,5766,5804,5081,5271,5129,4748,5796,6071,4862,5772,6989,6599,5557,5804,5024,5132,5408,5607,6720,6164,5300
Latvia,"12,487",-12,-19,-93,-4,262,354,408,399,381,158,5,-36,-215,-125,23,70,276,291,360,325,316,69,-51,-50,-181,-250,-154,27,362,314,374,260,95,46,-126,-45,-300,-85
Libya,"3,909",-425,-394,-479,-497,-552,-467,-479,-524,-444,-506,-489,-460,-373,-337,-390,-540,-397,-326,-398,-251,-384,-434,-358,-271,-276,-289,-325,-242,-323,-188,-283,-290,-234,-282,-291,-208,-227,-111
Liquefied Natural Gas,"1,000",-8819,-7211,-9370,-9406,-8609,-7515,-5817,-6378,-4765,-6073,-8322,-8004,-8212,-8372,-8720,-7519,-8224,-6117,-5602,-4791,-5176,-5252,-5651,-5522,-5119,-5562,-7901,-7608,-6225,-5360,-5340,-4818,-4997,-6586,-7875,-8407,-11155,-9666
Lithuania,"14,257",283,217,219,165,162,139,128,99,160,195,208,229,227,213,191,183,173,182,187,147,141,189,234,280,289,278,250,213,181,168,118,109,135,143,157,232,189,158
Luxembourg,"84,610",108,85,82,63,56,41,39,34,44,61,83,84,94,82,75,47,45,37,34,30,40,62,75,83,101,82,82,68,57,35,36,32,39,60,81,82,95,75
"Macedonia, Former Yugoslav Republic","5,416",42,26,11,7,4,26,36,173,35,20,20,32,40,25,40,5,4,18,35,36,36,22,44,45,47,41,45,11,10,17,35,36,36,45,47,50,37,39
Moldova,"4,087",166,152,146,149,159,158,209,323,378,378,300,276,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0
Morocco,"2,832",-749,-451,-225,-290,-344,-246,-749,-252,-318,-564,-639,-712,-221,-164,-120,-122,-119,-112,-241,-213,-484,-645,-630,-555,-539,-608,-684,-627,-681,-649,-547,-516,-624,-384,0,0,0,0
Netherlands,"41,370",-1033,-1147,-879,-445,-256,570,-168,64,-284,-902,-1588,-4485,-1811,-1544,-1594,-666,-581,-98,-602,-595,-90,-692,-672,-1306,-2741,-1840,-2110,-3637,-1059,3,-183,-253,-145,-1339,-1104,-2536,-1791,-1427
Norway,"69,660",-9258,-8502,-8895,-7815,-7854,-7851,-7531,-8625,-4305,-7372,-8448,-9171,-9305,-3874,-9420,-7688,-6671,-6520,-7520,-6655,-6047,-6954,-7842,-8638,-7988,-7381,-8166,-7847,-7363,-6016,-7489,-2201,-6592,-8541,-8695,-9620,-9414,-8697
Poland,"13,117",1575,1292,1348,1350,1518,1187,1290,617,1244,1215,1986,2102,1349,1515,2156,1801,1921,1812,1898,1878,1468,1775,1954,1932,2111,2272,1988,2148,1986,1815,1899,1768,1632,1712,2009,2194,1733,1757
Portugal,"17,886",455,401,348,410,517,497,530,580,539,566,502,428,485,455,500,331,351,434,557,568,555,516,485,378,488,404,411,449,472,534,468,417,446,514,493,460,475,402
Romania,"9,107",413,285,180,127,117,144,181,236,248,60,-428,-67,313,265,200,155,148,165,143,136,75,12,155,225,249,281,295,155,180,144,217,270,195,275,243,342,374,118
Russia,"9,609",-13918,-11719,-13139,-14107,-5831,-5999,-4187,-6390,-5860,-5101,-5442,-6514,-7119,-5736,-5483,-5441,-5593,-5238,-4119,-6573,-6921,-7181,-7284,-7986,-7709,-7023,-7601,-5510,-7129,-7452,-5960,-7336,-6931,-6795,-6299,-7106,-7104,-6704
