country,x19jan,x19feb,x19mar,x19apr,x19may,x19jun,x19jul,x19aug,x19sep,x19oct,x19nov,x19dec,Total 2019,x20jan,x20feb,x20mar,x20apr,x20may,x20jun,x20jul,x20aug,x20sep,x20oct,x20nov,x20dec,Total 2020,x21jan,x21feb,x21mar,x21apr,x21may,x21jun,x21jul,x21aug,x21sep,x21oct,x21nov,x21dec,Total 2021,x22jan,x22feb,Total 2022,,Total 2019,Total 2020,Total 2021,Total 2022
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-15,-12,300,-25,-24,-27,-33,-33,-30,-30,-34,-35,2,-34,-34,-68,,0,-1,2,-68
Algeria,-2689,-1907,-1143,-1470,-1546,-1458,-696,-406,-285,-595,-670,-693,-13558,-455,-426,-326,-300,-329,-319,-429,-430,-405,-667,-640,-595,-5321,-570,-631,-691,-558,-710,-686,-654,-590,-698,-644,-723,-735,-7890,-855,-784,-1639,,-13558,-5321,-7890,-1639
Austria,1004,702,791,1238,995,858,1320,548,484,676,630,890,10136,226,587,550,613,769,634,293,317,490,747,787,664,6677,292,154,407,535,614,876,703,1177,835,1099,635,598,7925,506,677,1183,,10136,6677,7925,1183
Belarus,-3740,-3369,-3666,-3002,-3500,-3037,-2986,-2567,-3282,-3578,-3951,-4094,-40772,-3186,-3154,-3374,-3203,-2940,-3471,-3133,-4015,-3714,-3924,-3909,-4066,-42089,-4268,-3724,-3986,-3782,-3951,-3669,-3466,-2671,-3232,-1900,-1879,-2055,-38583,-1038,-1328,-2366,,-40772,-42089,-38583,-2366
Belgium,1450,1140,900,307,326,190,442,556,1899,1774,2001,1874,12859,1853,1683,1708,998,703,1123,1211,1128,1093,1499,1707,2239,16945,2880,2034,1568,1443,1139,914,871,1028,814,517,1480,1553,16241,975,176,1151,,12859,16945,16241,1151
Bulgaria,281,237,230,236,150,139,193,168,88,50,136,133,2041,241,233,241,221,263,256,235,216,228,226,263,279,2902,262,249,291,280,293,273,327,270,275,265,231,271,3287,281,267,548,,2041,2902,3287,548
Croatia,167,140,154,178,158,151,138,154,157,186,188,196,1967,180,157,170,147,149,181,182,202,171,195,178,203,2115,179,163,255,217,107,164,185,186,99,199,187,182,2123,155,-19,136,,1967,2115,2123,136
Czech Republic,645,649,775,912,1027,1081,696,652,530,707,870,985,9529,437,557,260,735,1030,950,692,649,489,662,587,540,7588,472,533,814,761,844,955,678,845,950,891,559,411,8713,432,503,935,,9529,7588,8713,935
Denmark,-103,-77,-82,-56,-56,-67,-95,-63,-11,121,162,124,-203,0,32,71,83,84,119,123,88,27,84,79,160,950,10,52,47,69,61,72,63,57,101,34,44,121,731,53,-61,-8,,-203,950,731,-8
Estonia,74,54,53,34,26,16,17,19,23,35,44,98,493,55,49,50,37,26,18,18,18,23,30,41,59,424,64,70,57,40,25,30,16,20,25,31,44,71,493,62,48,110,,950,424,493,110
Finland,375,277,265,204,137,139,155,147,172,210,228,242,2551,251,235,242,188,163,164,161,166,201,200,217,264,2452,342,361,255,216,108,108,149,145,168,149,111,259,2371,156,129,285,,2551,2452,2371,285
France,3376,3104,4454,4763,4138,3596,3476,3489,1037,3232,4737,4862,44264,2567,1433,3532,4572,4415,3027,2577,2811,2461,3884,3438,3188,37905,3175,2904,4561,3910,4528,3230,3645,1957,2861,3381,2960,3613,40725,3369,3060,6429,,44264,37905,40725,6429
Georgia,-768,-683,-773,-725,-770,-651,-900,-735,-819,-932,-863,-927,-9546,-945,-860,-924,-917,-882,-918,-1094,-986,-753,-1103,-1064,-1102,-11548,-1119,-966,-1073,-771,-427,-523,-540,-540,-522,-540,-608,-747,-8376,-796,-748,-1544,,-9546,-11548,-8376,-1544
Germany,8062,7898,8857,7899,8416,6659,5230,7034,5892,6971,9200,12621,94739,8602,5957,7723,6910,7046,5272,3969,5071,5438,7088,7673,7253,78002,4628,7270,9137,8401,7397,6491,5524,3778,6164,8072,7523,8242,82627,8490,9118,17608,,94739,78002,82627,17608
Greece,685,493,310,351,614,552,503,750,469,539,481,487,6234,607,534,393,208,383,406,582,529,432,417,488,717,5696,573,440,578,498,451,493,678,612,473,562,487,612,6457,581,500,1081,,6234,5696,6457,1081
Hungary,-265,614,704,1128,1361,688,-99,1065,929,791,651,1118,8685,463,556,390,466,505,423,537,623,504,158,190,-74,4741,-95,-169,7,191,142,158,286,273,187,43,64,101,1188,353,493,846,,8685,4741,1188,846
Iran,-824,-685,-833,-641,-543,-227,-606,-161,-648,-856,-859,-853,-7736,-704,-767,-558,0,0,0,-664,-406,-515,-97,-790,-819,-5320,-714,-809,-850,-867,-861,-867,-633,-898,-888,-395,-796,-855,-9433,-649,-514,-1163,,-7736,-5320,-9433,-1163
Ireland,257,190,246,252,251,210,219,148,218,217,306,273,2787,302,282,297,247,265,244,267,273,302,288,314,358,3439,409,299,347,317,262,250,361,262,245,256,325,331,3664,382,286,668,,2787,3439,3664,668
