Site_Num,Site_Size,Site_Type,Site_Type_Num,BP_Range,Num_Sample,Early Holocene Period (10000-8501 BP),Early Early Period (8500-5001 BP),Late Early Period (5000-2601 BP),Early Middle Period (2600-1301 BP),Late Middle Period (1300-851 BP),Early Late Period (850-501 BP),Late Late Period (500-241 BP),Mission Period (240-150 BP)
CA-SBA-0016,2225,Unknown,9,910-770,1,20000,20000,20000,20000,20000,840,20000,20000
CA-SBA-0031,187,Unknown,9,4330-3320,2,20000,20000,3805,20000,20000,20000,20000,20000
CA-SBA-0210-552,128739, Village,1,9420-710,8,9050,20000,4121,2045,20000,810,20000,20000
CA-SBA-0212,162405, Village,1,3110-590,33,20000,20000,3040,1657,1063,733,20000,20000
CA-SBA-0215,51337, Village,1,6690-690,23,20000,20000,20000,20000,20000,20000,20000,20000
CA-SBA-0224,1280, Village,1,1145-95,7,20000,20000,20000,20000,985,613,358,155
CA-SBA-0225,301834, Village,1,1355-120,5,20000,20000,20000,20000,1230,20000,20000,210
CA-SBA-0503,2205,"Long-term residence, ideological",3,3410-740,9,20000,20000,3302,2570,20000,815,20000,20000
CA-SBA-0530,20977,Long-term residence,2,9680-265,65,8900,6415,3732,2385,1138,723,325,20000
CA-SBA-0539,40689,Long-term residence,2,2375-1845,3,20000,20000,20000,2092,20000,20000,20000,20000
CA-SBA-0593,14934,"Location, chipping station",8,560-360,1,20000,20000,20000,20000,20000,20000,460,20000
CA-SBA-0594,27012,Short-term residence,5,1080-110,12,20000,20000,20000,20000,980,598,448,205
CA-SBA-0612,2350,Short-term residence,5,1750-150,16,20000,20000,20000,1567,1075,640,335,190
CA-SBA-0662,74258, Village,1,2725-2325,1,20000,20000,20000,2525,20000,20000,20000,20000
CA-SBA-0706,142477,Short-term residence,5,1720-395,11,20000,20000,20000,1630,1100,747,465,20000
CA-SBA-0740,32811,Long-term residence,2,1660-950,3,20000,20000,20000,1580,1085,20000,20000,20000
CA-SBA-0755-756-757,63958,"Long-term residence, quarry",4,8210-1020,30,20000,6698,3794,1708,1060,20000,20000,20000
CA-SBA-0760-761-1748,63455,Short-term residence,5,1970-1010,8,20000,20000,20000,1620,1050,20000,20000,20000
CA-SBA-0772,46839,"Location, chipping station/shell",7,8960-1030,7,8920,20000,4730,2060,1148,20000,20000,20000
CA-SBA-0935,125519,Long-term residence,2,1590-1160,7,20000,20000,20000,1443,1200,20000,20000,20000
CA-SBA-0939,43042,Long-term residence,2,1445-1285,1,20000,20000,20000,1365,20000,20000,20000,20000
CA-SBA-0940,92525, Village,1,1030-930,1,20000,20000,20000,20000,980,20000,20000,20000
CA-SBA-0980,42482,"Location, chipping station/shell",7,1640-355,21,20000,20000,20000,1333,1173,800,405,20000
CA-SBA-0981,71170,"Short-term residence, quarry",6,1180-810,6,20000,20000,20000,20000,1050,20000,20000,20000
CA-SBA-0990,107818,Short-term residence,5,1350-870,16,20000,20000,20000,1310,1066,20000,20000,20000
CA-SBA-1000,7711,"Location, chipping station",8,850-770,1,20000,20000,20000,20000,20000,810,20000,20000
CA-SBA-1036,78219,Short-term residence,5,7710-1140,4,20000,7105,20000,20000,1180,20000,20000,20000
CA-SBA-1037,56898,"Location, chipping station/shell",7,4280-870,5,20000,20000,4140,20000,990,20000,20000,20000
CA-SBA-1060,195328,"Location, chipping station/shell",7,1730-1570,1,20000,20000,20000,1650,20000,20000,20000,20000
CA-SBA-1070-1071,73858,"Location, chipping station/shell",7,1420-950,17,20000,20000,20000,1345,1126,20000,20000,20000
CA-SBA-1154,13904,"Location, chipping station/shell",7,1070-850,1,20000,20000,20000,20000,960,20000,20000,20000
CA-SBA-1179,1037,Short-term residence,5,585-485,1,20000,20000,20000,20000,20000,535,20000,20000
CA-SBA-2127,1828,"Short-term residence, quarry",6,6510-6370,1,20000,6440,20000,20000,20000,20000,20000,20000
CA-SBA-2166,15459,Long-term residence,2,1470-340,5,20000,20000,20000,1370,970,600,430,20000
CA-SBA-2243,1906,"Location, chipping station",8,610-150,2,20000,20000,20000,20000,20000,20000,520,240
CA-SBA-2322,64169,Long-term residence,2,5490-2980,16,20000,5262,4008,20000,20000,20000,20000,20000
CA-SBA-2767,12140,Unknown,9,900-390,9,20000,20000,20000,20000,20000,663,450,20000
CA-SBA-3328,2978,"Location, chipping station/shell",7,990-310,6,20000,20000,20000,20000,950,730,355,20000
CA-SBA-3949,4401,"Long-term residence, ideological",3,3290-2560,4,20000,20000,2870,20000,20000,20000,20000,20000
Point Sal Cemetery,10000,Unknown,9,1890-1410,4,20000,20000,20000,1633,20000,20000,20000,20000
